,DriverId,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Lanes_or_Medians,Types_of_Junction,Road_surface_type,Light_conditions,Weather_conditions,Type_of_collision,Vehicle_movement,Pedestrian_movement,Cause_of_accident,Predicted_Accident_Severity
0,7819,18-30,Male,Junior high school,Employee,1-2yr,other,No junction,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to vehicle,2
1,6773,18-30,Male,Junior high school,Employee,5-10yr,One way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Entering a junction,Not a Pedestrian,No distancing,2
2,7915,31-50,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Moving Backward,Crossing from offside - masked by  parked or statioNot a Pedestrianry vehicle,Changing lane to the right,2
3,2699,Unknown,Male,Junior high school,Employee,5-10yr,Undivided Two way,Crossing,Asphalt roads,Darkness - lights lit,Normal,Vehicle with vehicle collision,Other,Not a Pedestrian,No distancing,2
4,1544,18-30,Male,Junior high school,Employee,Above 10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,2
5,6640,Unknown,Male,Junior high school,Owner,1-2yr,other,No junction,Asphalt roads,Darkness - lights lit,Normal,Rollover,Going straight,Unknown or other,No priority to vehicle,2
6,1919,31-50,Male,Elementary school,Employee,1-2yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Driving carelessly,2
7,10877,31-50,Male,Elementary school,Employee,Above 10yr,other,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2
8,5496,31-50,Male,Junior high school,Employee,5-10yr,Undivided Two way,Unknown,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No priority to pedestrian,2
9,7540,18-30,Male,High school,Owner,1-2yr,Two-way (divided with broken lines road marking),Crossing,Asphalt roads,Daylight,Normal,Collision with roadside objects,Other,Not a Pedestrian,Driving carelessly,2
10,3600,Unknown,Male,Junior high school,Employee,5-10yr,Undivided Two way,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2
11,7150,31-50,Male,Junior high school,Employee,5-10yr,other,Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Getting off,Not a Pedestrian,Driving carelessly,2
12,3471,31-50,Male,Elementary school,Owner,5-10yr,Undivided Two way,No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Getting off,Not a Pedestrian,No distancing,2
13,5770,31-50,Male,Junior high school,Employee,2-5yr,Two-way (divided with broken lines road marking),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,Other,2
14,6311,Unknown,Female,Junior high school,Employee,2-5yr,Double carriageway (median),No junction,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Going straight,Not a Pedestrian,No distancing,2
15,9002,Under 18,Male,Junior high school,Employee,Unknown,Two-way (divided with broken lines road marking),Y Shape,Asphalt roads,Daylight,Normal,Vehicle with vehicle collision,Turnover,Not a Pedestrian,No priority to pedestrian,2
16,3951,Over 51,Male,Junior high school,Owner,Below 1yr,One way,Y Shape,Asphalt roads,Daylight,Normal,Collision with roadside objects,Moving Backward,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No distancing,2
17,8141,31-50,Male,Junior high school,Employee,Above 10yr,Undivided Two way,Y Shape,Unknown,Daylight,Normal,Vehicle with vehicle collision,Turnover,Crossing from driver's nearside,Changing lane to the left,2
